budget,seats,body_type,priority,car_price,family_score,performance_score,city_score,luxury_score,offroad_score,safety_score,efficiency_score,chosen
2965234,7,Coupe,city,18500000,8,10,0,10,4,10,0,0
4289243,5,Sedan,efficiency,6550000,10,10,0,10,0,10,0,0
1467130,5,SUV,offroad,14000000,10,10,0,10,10,10,0,0
2371281,7,Sedan,city,6550000,10,10,0,10,0,10,0,0
2957962,4,SUV,city,1220000,10,10,0,10,6,10,10,0
2986923,4,Hatchback,safety,610000,10,10,6,10,4,10,10,1
2702845,6,Hatchback,family,750000,6,0,6,10,0,8,0,0
529913,7,SUV,luxury,1599000,10,10,0,10,6,10,10,0
2098717,7,Sedan,offroad,30000000,4,8,0,8,4,10,0,0
3453519,4,Sedan,offroad,1220000,10,10,8,10,0,10,10,0
2019879,4,Hatchback,performance,685000,10,10,10,10,0,10,10,1
3805508,5,SUV,family,7150000,7,8,0,8,10,10,0,0
910980,6,Sedan,luxury,6300000,10,10,0,10,0,10,9,0
3948604,7,SUV,performance,28500000,10,10,0,10,10,10,0,0
4962284,7,MPV,family,890000,10,10,8,10,4,10,10,1
4497165,5,Hatchback,performance,630000,9,10,6,10,4,8,10,1
3911564,7,Micro SUV,city,645000,10,10,10,10,4,10,10,0
4877145,5,SUV,family,3800000,10,10,0,10,6,10,0,1
3973753,5,Compact SUV,city,5600000,7,8,0,6,4,10,0,0
2111778,7,SUV,offroad,1120000,10,10,10,10,6,10,10,0
4658554,6,SUV,family,4300000,7,8,0,8,10,10,0,1
2331643,6,SUV,performance,1220000,10,10,0,10,6,10,10,0
4928084,5,Sedan,luxury,8500000,7,8,0,8,0,10,0,0
1099021,6,SUV,safety,3800000,10,10,0,10,6,10,0,0
1572859,4,SUV,family,1164000,10,10,10,10,6,10,10,1
1113083,7,Sedan,safety,19000000,10,10,0,10,0,10,0,0
1304462,7,Crossover,offroad,1350000,10,10,0,10,4,10,5,0
3289342,6,Pickup,safety,3550000,10,10,0,8,8,10,0,0
659115,7,SUV,offroad,4300000,7,8,0,8,10,10,0,0
2646268,5,SUV,efficiency,10200000,10,10,0,10,6,10,0,0
768333,5,Hatchback,city,725000,10,10,10,10,0,10,10,1
408550,5,Coupe,family,18500000,8,10,0,10,4,10,0,0
2881124,4,SUV,family,5050000,10,10,0,10,6,10,8,0
1320215,5,Hatchback,performance,725000,10,10,10,10,0,10,10,1
2808446,6,Compact SUV,efficiency,7200000,7,8,0,8,8,10,0,0
2082450,4,MPV,offroad,2100000,10,10,0,10,0,10,3,0
1147318,7,SUV,family,145000000,7,8,0,8,10,10,0,0
4109875,6,Compact SUV,luxury,7200000,7,8,0,8,8,10,0,0
1521127,5,SUV,efficiency,10200000,10,10,0,10,6,10,0,0
1734793,6,SUV,performance,10000000,10,10,0,10,10,10,0,0
4866674,5,Sedan,family,5500000,7,8,0,8,0,10,0,0
3717469,6,Sedan,luxury,685000,10,10,10,10,0,10,10,0
1454586,5,MPV,luxury,3850000,10,10,0,10,4,10,6,0
1636901,5,Hatchback,family,850000,10,6,6,10,0,10,5,1
2488604,7,SUV,city,10800000,10,10,0,10,10,10,0,0
1033263,5,Sedan,luxury,6300000,10,10,0,10,0,10,9,0
2671193,6,SUV,family,10500000,7,8,0,8,10,10,0,0
2290168,5,Hatchback,city,5600000,3,6,3,4,0,9,0,0
3926557,5,SUV,performance,1220000,10,10,0,10,6,10,10,1
3605082,6,Sedan,offroad,5100000,7,8,4,8,0,10,5,0
3762633,5,SUV,luxury,1250000,10,10,3,10,6,10,10,1
717923,7,SUV,performance,1550000,10,10,0,10,10,10,3,0
2420010,7,SUV,safety,14200000,10,10,0,10,10,10,0,0
4989778,4,SUV,efficiency,8500000,7,6,0,8,6,10,0,0
2979858,5,Sedan,offroad,6400000,10,10,0,10,0,10,10,0
4136249,5,MPV,efficiency,545000,3,6,10,0,0,5,10,1
1886558,7,SUV,luxury,1220000,10,10,0,10,6,10,10,0
1444709,5,SUV,performance,17500000,7,8,0,8,10,10,0,0
4780958,4,Sedan,performance,7000000,10,10,8,10,0,10,10,0
4230850,6,Sedan,family,685000,10,10,10,10,0,10,10,0
2360146,7,SUV,family,3800000,10,10,0,10,6,10,0,0
4455217,4,SUV,performance,32500000,4,8,0,8,10,10,0,0
2467980,5,Sedan,luxury,655000,10,10,10,10,0,10,10,1
4010755,6,SUV,luxury,1164000,10,10,10,10,6,10,10,0
769750,7,SUV,performance,2700000,10,10,0,10,2,10,0,0
3140602,7,Sedan,safety,5100000,7,8,4,8,0,10,5,0
1374919,5,MPV,city,2570000,10,10,10,10,4,10,10,0
1771858,5,Hatchback,city,725000,10,10,10,10,0,10,10,1
4789459,6,Hatchback,safety,750000,6,0,6,10,0,8,0,0
524612,7,SUV,safety,14000000,10,10,0,10,10,10,5,0
2644636,7,Crossover,performance,9500000,10,10,0,10,8,10,0,0
2200635,6,Sedan,safety,6550000,10,10,0,10,0,10,0,0
622419,5,Off-Road SUV,city,1600000,5,6,3,8,8,4,0,0
915784,7,SUV,safety,1250000,10,10,3,10,6,10,10,0
3760697,7,SUV,luxury,20000000,7,8,0,8,10,10,0,0
4937780,5,Hatchback,safety,530000,7,4,6,8,4,6,10,0
768161,5,MPV,city,2025000,10,10,10,10,4,10,10,0
3650125,4,SUV,city,810000,10,10,3,10,6,10,10,0
3867823,4,SUV,efficiency,1750000,4,6,0,2,6,1,3,0
735917,7,SUV,performance,5050000,10,10,0,10,6,10,8,0
3423422,5,Sedan,city,970000,10,10,0,10,0,10,10,0
4998922,7,SUV,safety,4300000,7,8,0,8,10,10,0,1
506846,7,SUV,efficiency,10800000,10,10,0,10,10,10,0,0
4705782,4,SUV,family,1035000,6,10,3,6,2,8,10,0
647669,4,Hatchback,performance,530000,7,4,6,8,4,6,10,0
3443587,6,SUV,city,820000,10,10,3,10,6,10,10,0
4722418,7,Coupe SUV,offroad,1850000,10,10,0,10,4,10,0,0
3358676,7,SUV,family,9800000,10,10,0,10,10,10,3,0
4798496,5,Sedan,efficiency,1180000,10,10,0,10,0,10,10,1
3806142,6,Sedan,efficiency,5100000,7,8,4,8,0,10,5,0
4437878,7,Compact SUV,offroad,7200000,7,8,0,8,8,10,0,0
4649891,6,Sedan,city,685000,10,10,10,10,0,10,10,0
4796839,5,Crossover,performance,1350000,10,10,0,10,4,10,5,1
4692532,6,Sedan,city,18000000,10,10,0,10,0,10,0,0
4853498,7,SUV,city,14000000,10,10,0,10,10,10,5,0
