Identification Brand,Identification Model,Identification Variant,Identification Year,Identification Body Type,Identification Seating Capacity,Identification Segment,Pricing Delhi Ex Showroom Price,Pricing Delhi On Road Price,Pricing Delhi Resale Value,Pricing Delhi Insurance Cost,Engine Cc,Engine Cylinders,Engine Type,Engine Turbo,Engine Bhp,Engine Torque,Engine Transmission,Engine Gears,Engine Drive,Engine 0 100 Sec,Engine Top Speed,Efficiency Fuel Type,Efficiency Mileage Arai,Efficiency Mileage City,Efficiency Mileage Highway,Efficiency Tank Capacity,Dimensions Length,Dimensions Width,Dimensions Height,Dimensions Wheelbase,Dimensions Ground Clearance,Dimensions Weight Kg,Dimensions Boot Liters,Dimensions Turning Radius,Ev Data Is Ev,Ev Data Battery Kwh,Ev Data Range Km,Ev Data Charging Ac Hours,Ev Data Charging Dc Min,Safety Ncap Stars,Safety Airbags,Safety Abs,Safety Esp,Safety Hill Hold,Safety Isofix,Safety Tpms,Safety Adas Level 2,Features Sunroof,Features Ventilated Seats,Features Cruise Control,Features Keyless Entry,Features Touchscreen Inch,Features 360 Camera,Features Wireless Charging,Features Connected Tech,Features Led Lights,Features Alloy Wheels,Warranty Years,Warranty Km,Warranty Service Km
Maruti Suzuki,Alto K10,Std (O),2025,Hatchback,5,Mini,410000,460000,Excellent,18000,998,3,Petrol,FALSE,66,89,Manual,5,FWD,15.5,140,Petrol,24.9,18,22,27,3530,1490,1520,2380,160,735,177,4.5,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Alto K10,LXi,2025,Hatchback,5,A-Segment,495000,545000,Excellent,15000,998,3,Petrol,FALSE,66,89,Manual,5,FWD,14.5,145,Petrol,24.9,19,22,27,3530,1490,1520,2380,160,735,177,4.5,FALSE,0,0,0,0,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Alto K10,VXi,2025,Hatchback,5,A-Segment,535000,605000,Excellent,16000,998,3,Petrol,FALSE,66,89,Manual,5,FWD,15.5,145,Petrol,24.9,18,22,27,3530,1490,1520,2380,167,750,177,4.5,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Alto K10,VXi Plus,2025,Hatchback,5,A-Segment,560000,625000,Excellent,25000,998,3,Petrol,FALSE,66,89,Manual,5,FWD,14.5,140,Petrol,24.9,19.5,23,27,3530,1490,1520,2380,167,740,214,4.5,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,FALSE,FALSE,TRUE,7,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Alto K10,VXi AGS,2025,Hatchback,5,Entry-Level Hatchback,570000,640000,Excellent,23000,998,3,Petrol,FALSE,66,89,AMT,5,FWD,14.5,145,Petrol,24.9,18,22,27,3530,1490,1520,2380,160,765,177,4.5,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,None,FALSE,FALSE,TRUE,7,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Alto K10,LXi CNG,2025,Hatchback,5,A-Segment,580000,640000,Strong,20000,998,3,Petrol/CNG,FALSE,56,82,Manual,5,FWD,18,135,CNG,33.85,28,30,27,3530,1490,1520,2380,160,810,80,4.5,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Alto K10,VXi CNG,2025,Hatchback,5,A-Segment,620000,700000,Strong,25000,998,3,Petrol/CNG,FALSE,56,82,Manual,5,FWD,18,145,CNG,34,28,30,27,3530,1490,1520,2380,160,800,150,4.5,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,Std,2025,Hatchback,5,A-Segment,435000,485000,Excellent,15000,998,3,Petrol,FALSE,67,89,Manual,5,FWD,15.5,140,Petrol,24.76,18,21,27,3565,1520,1567,2380,180,736,240,4.5,FALSE,0,0,0,0,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,LXi,2025,Micro SUV,5,Entry-Level Compact,515000,565000,Strong,20000,998,3,Petrol,FALSE,66,89,Manual,5,FWD,15.5,145,Petrol,25.3,18,22,27,3565,1520,1567,2380,180,770,240,4.5,FALSE,0,0,0,0,1,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,None,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,VXi,2025,Hatchback,5,A-Segment,530000,600000,Strong,25000,998,3,Petrol,FALSE,66,89,Manual,5,FWD,15,145,Petrol,25.3,18,22,27,3565,1520,1567,2380,185,770,240,4.5,FALSE,0,0,0,0,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,FALSE,FALSE,TRUE,7,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,VXi Plus,2025,Hatchback,5,A-Segment,585000,665000,Excellent,23000,998,3,Petrol,FALSE,66,89,Manual,5,FWD,15.5,145,Petrol,24.76,18,21,27,3565,1520,1567,2380,180,763,240,4.5,FALSE,0,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,None,FALSE,FALSE,TRUE,7,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,S-Presso,VXi (O) AGS,2025,Hatchback,5,Entry-Level Hatchback,610000,705000,Excellent,21000,998,3,Petrol,FALSE,65,89,AMT,5,FWD,15.5,140,Petrol,25.3,20,22.5,27,3565,1520,1567,2380,180,770,270,4.5,FALSE,0,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,None,FALSE,FALSE,TRUE,7,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
